"RecordNumber","Author","Coding","Theory","Year"
551,"Goldner, Melinda","Health Cond","NA",2006
551,"Goldner, Melinda","S/Education","NA",2006
551,"Goldner, Melinda","S/Household","NA",2006
551,"Goldner, Melinda","S/Gender","NA",2006
551,"Goldner, Melinda","S/Race or Ethnicity","NA",2006
551,"Goldner, Melinda","S/Financial-Income","NA",2006
559,"Flynn, Kathryn E., Smith, Maureen A. and Freese, Jeremy","S/Education","NA",2006
559,"Flynn, Kathryn E., Smith, Maureen A. and Freese, Jeremy","S/Household","NA",2006
559,"Flynn, Kathryn E., Smith, Maureen A. and Freese, Jeremy","S/Gender","NA",2006
559,"Flynn, Kathryn E., Smith, Maureen A. and Freese, Jeremy","S/Other","NA",2006
564,"Powell, John and Clarke, Aileen","Health Status","General Health Questionnaire",2006
564,"Powell, John and Clarke, Aileen","S/Education","General Health Questionnaire",2006
564,"Powell, John and Clarke, Aileen","Healthcare/Experience","General Health Questionnaire",2006
581,"Shim, Minsun, Kelly, Bridget and Hornik, Robert","Health Cond","NA",2006
581,"Shim, Minsun, Kelly, Bridget and Hornik, Robert","Health Cond/Family","NA",2006
581,"Shim, Minsun, Kelly, Bridget and Hornik, Robert","S/Age","NA",2006
581,"Shim, Minsun, Kelly, Bridget and Hornik, Robert","S/Education","NA",2006
581,"Shim, Minsun, Kelly, Bridget and Hornik, Robert","S/Gender","NA",2006
581,"Shim, Minsun, Kelly, Bridget and Hornik, Robert","S/Race or Ethnicity","NA",2006
582,"Rutten, Lila J., Squiers, Linda and Hesse, Bradford","Health Cond","NA",2006
582,"Rutten, Lila J., Squiers, Linda and Hesse, Bradford","Health Cond/Family","NA",2006
582,"Rutten, Lila J., Squiers, Linda and Hesse, Bradford","S/Age","NA",2006
582,"Rutten, Lila J., Squiers, Linda and Hesse, Bradford","S/Education","NA",2006
582,"Rutten, Lila J., Squiers, Linda and Hesse, Bradford","S/Gender","NA",2006
582,"Rutten, Lila J., Squiers, Linda and Hesse, Bradford","S/Race or Ethnicity","NA",2006
582,"Rutten, Lila J., Squiers, Linda and Hesse, Bradford","Healthcare/Familiarity","NA",2006
582,"Rutten, Lila J., Squiers, Linda and Hesse, Bradford","S/Financial-Income","NA",2006
590,"Bundorf, M., Wagner, Todd H., Singer, Sara J. and Baker, Laurence C.","S/Financial-Health Insurance","NA",2006
590,"Bundorf, M., Wagner, Todd H., Singer, Sara J. and Baker, Laurence C.","S/Age","NA",2006
590,"Bundorf, M., Wagner, Todd H., Singer, Sara J. and Baker, Laurence C.","S/Education","NA",2006
590,"Bundorf, M., Wagner, Todd H., Singer, Sara J. and Baker, Laurence C.","S/Gender","NA",2006
590,"Bundorf, M., Wagner, Todd H., Singer, Sara J. and Baker, Laurence C.","Healthcare/Access","NA",2006
590,"Bundorf, M., Wagner, Todd H., Singer, Sara J. and Baker, Laurence C.","Internet/Access","NA",2006
590,"Bundorf, M., Wagner, Todd H., Singer, Sara J. and Baker, Laurence C.","S/Financial-Income","NA",2006
592,"Koo, Michelle, Krass, Ines and Aslani, Parisa","Internal locus of control","Multidimensional Health Locus of Control (MHLC);Miller Behavioural Style Scale (MBSS);Short-Form Test of Functional Health Literacy in Adults (S-TOFHLA);",2006
592,"Koo, Michelle, Krass, Ines and Aslani, Parisa","Health Cond","Multidimensional Health Locus of Control (MHLC);Miller Behavioural Style Scale (MBSS);Short-Form Test of Functional Health Literacy in Adults (S-TOFHLA);",2006
592,"Koo, Michelle, Krass, Ines and Aslani, Parisa","S/Employment","Multidimensional Health Locus of Control (MHLC);Miller Behavioural Style Scale (MBSS);Short-Form Test of Functional Health Literacy in Adults (S-TOFHLA);",2006
592,"Koo, Michelle, Krass, Ines and Aslani, Parisa","S/Health/Health Literacy","Multidimensional Health Locus of Control (MHLC);Miller Behavioural Style Scale (MBSS);Short-Form Test of Functional Health Literacy in Adults (S-TOFHLA);",2006
611,"Dutta-Bergman, Mohan J.","Health/Beliefs","NA",2004
611,"Dutta-Bergman, Mohan J.","Health Behav","NA",2004
621,"Liu, Yifei, Doucette, William R., Farris, Karen B. and Nayakankuppam, Dhananjay","Affect","Theory of Planned Behavior (TPB)",2005
621,"Liu, Yifei, Doucette, William R., Farris, Karen B. and Nayakankuppam, Dhananjay","Attitude","Theory of Planned Behavior (TPB)",2005
621,"Liu, Yifei, Doucette, William R., Farris, Karen B. and Nayakankuppam, Dhananjay","Behav/Intention","Theory of Planned Behavior (TPB)",2005
621,"Liu, Yifei, Doucette, William R., Farris, Karen B. and Nayakankuppam, Dhananjay","Health Cond","Theory of Planned Behavior (TPB)",2005
621,"Liu, Yifei, Doucette, William R., Farris, Karen B. and Nayakankuppam, Dhananjay","Society/Subjective Norms","Theory of Planned Behavior (TPB)",2005
621,"Liu, Yifei, Doucette, William R., Farris, Karen B. and Nayakankuppam, Dhananjay","Internet/Access","Theory of Planned Behavior (TPB)",2005
625,"Nicholson, Wanda, Gardner, Bridget, Grason, Holly A. and Powe, Neil R.","Health Cond","Behavioral Model of Health Care Use;Women’s Health Care Experiences Survey (WHCES)",2005
625,"Nicholson, Wanda, Gardner, Bridget, Grason, Holly A. and Powe, Neil R.","Health Status","Behavioral Model of Health Care Use;Women’s Health Care Experiences Survey (WHCES)",2005
625,"Nicholson, Wanda, Gardner, Bridget, Grason, Holly A. and Powe, Neil R.","S/Age","Behavioral Model of Health Care Use;Women’s Health Care Experiences Survey (WHCES)",2005
625,"Nicholson, Wanda, Gardner, Bridget, Grason, Holly A. and Powe, Neil R.","S/Race or Ethnicity","Behavioral Model of Health Care Use;Women’s Health Care Experiences Survey (WHCES)",2005
625,"Nicholson, Wanda, Gardner, Bridget, Grason, Holly A. and Powe, Neil R.","Healthcare/Familiarity","Behavioral Model of Health Care Use;Women’s Health Care Experiences Survey (WHCES)",2005
625,"Nicholson, Wanda, Gardner, Bridget, Grason, Holly A. and Powe, Neil R.","S/Financial-Income","Behavioral Model of Health Care Use;Women’s Health Care Experiences Survey (WHCES)",2005
649,"Engelman, Kimberly K., Perpich, Denise L., Peterson, Shelly L., Hall, Matthew A., Ellerbeck, Edward F. and Stanton, Annette L.","Health Cond","Cancer Care Information Needs Survey",2005
649,"Engelman, Kimberly K., Perpich, Denise L., Peterson, Shelly L., Hall, Matthew A., Ellerbeck, Edward F. and Stanton, Annette L.","S/Age","Cancer Care Information Needs Survey",2005
649,"Engelman, Kimberly K., Perpich, Denise L., Peterson, Shelly L., Hall, Matthew A., Ellerbeck, Edward F. and Stanton, Annette L.","S/Gender","Cancer Care Information Needs Survey",2005
649,"Engelman, Kimberly K., Perpich, Denise L., Peterson, Shelly L., Hall, Matthew A., Ellerbeck, Edward F. and Stanton, Annette L.","Healthcare/Type","Cancer Care Information Needs Survey",2005
649,"Engelman, Kimberly K., Perpich, Denise L., Peterson, Shelly L., Hall, Matthew A., Ellerbeck, Edward F. and Stanton, Annette L.","Internet/Access","Cancer Care Information Needs Survey",2005
651,"Neame, Rebecca, Hammond, Alison and Deighton, Christopher","Health Cond/Knowledge","Information Seeking Preference Scale (ISPS);Decision Making Preference Scale (DMPS)",2005
651,"Neame, Rebecca, Hammond, Alison and Deighton, Christopher","Health Cond/Side Effects","Information Seeking Preference Scale (ISPS);Decision Making Preference Scale (DMPS)",2005
651,"Neame, Rebecca, Hammond, Alison and Deighton, Christopher","Health Cond/Treatment","Information Seeking Preference Scale (ISPS);Decision Making Preference Scale (DMPS)",2005
651,"Neame, Rebecca, Hammond, Alison and Deighton, Christopher","S/Age","Information Seeking Preference Scale (ISPS);Decision Making Preference Scale (DMPS)",2005
651,"Neame, Rebecca, Hammond, Alison and Deighton, Christopher","S/Education","Information Seeking Preference Scale (ISPS);Decision Making Preference Scale (DMPS)",2005
670,"Cotten, Shelia R. and Gupta, Sipi S.","S/Age","NA",2004
670,"Cotten, Shelia R. and Gupta, Sipi S.","S/Financial-Income","NA",2004
670,"Cotten, Shelia R. and Gupta, Sipi S.","S/Education","NA",2004
670,"Cotten, Shelia R. and Gupta, Sipi S.","Internet/Access","NA",2004
670,"Cotten, Shelia R. and Gupta, Sipi S.","Internet/Experience","NA",2004
670,"Cotten, Shelia R. and Gupta, Sipi S.","Health Status","NA",2004
670,"Cotten, Shelia R. and Gupta, Sipi S.","Affect","NA",2004
670,"Cotten, Shelia R. and Gupta, Sipi S.","Source/Count","NA",2004
683,"Dutta-Bergman, Mohan J.","Affect","Knowledge Gap Theory;Theory of Unified Responsibility;",2003
683,"Dutta-Bergman, Mohan J.","Health/Beliefs","Knowledge Gap Theory;Theory of Unified Responsibility;",2003
683,"Dutta-Bergman, Mohan J.","Non-healthcare/Beliefs","Knowledge Gap Theory;Theory of Unified Responsibility;",2003
683,"Dutta-Bergman, Mohan J.","S/Age","Knowledge Gap Theory;Theory of Unified Responsibility;",2003
683,"Dutta-Bergman, Mohan J.","S/Education","Knowledge Gap Theory;Theory of Unified Responsibility;",2003
683,"Dutta-Bergman, Mohan J.","S/Gender","Knowledge Gap Theory;Theory of Unified Responsibility;",2003
683,"Dutta-Bergman, Mohan J.","Internet/Experience","Knowledge Gap Theory;Theory of Unified Responsibility;",2003
688,"Czaja, Ronald, Manfredi, Clara and Price, Jammie","S/Age","Andersen & Anderson, (1967);Andersen, Kravits, & Anderson, (1975);Aday & Andersen, (1974);Green (1974);Comprehensive Model of Information Seeking (CMIS)",2003
688,"Czaja, Ronald, Manfredi, Clara and Price, Jammie","S/Education","Andersen & Anderson, (1967);Andersen, Kravits, & Anderson, (1975);Aday & Andersen, (1974);Green (1974);Comprehensive Model of Information Seeking (CMIS)",2003
688,"Czaja, Ronald, Manfredi, Clara and Price, Jammie","Healthcare/Familiarity","Andersen & Anderson, (1967);Andersen, Kravits, & Anderson, (1975);Aday & Andersen, (1974);Green (1974);Comprehensive Model of Information Seeking (CMIS)",2003
688,"Czaja, Ronald, Manfredi, Clara and Price, Jammie","S/Society/Engagement","Andersen & Anderson, (1967);Andersen, Kravits, & Anderson, (1975);Aday & Andersen, (1974);Green (1974);Comprehensive Model of Information Seeking (CMIS)",2003
688,"Czaja, Ronald, Manfredi, Clara and Price, Jammie","Health Cond","Andersen & Anderson, (1967);Andersen, Kravits, & Anderson, (1975);Aday & Andersen, (1974);Green (1974);Comprehensive Model of Information Seeking (CMIS)",2003
688,"Czaja, Ronald, Manfredi, Clara and Price, Jammie","Healthcare/Engagement","Andersen & Anderson, (1967);Andersen, Kravits, & Anderson, (1975);Aday & Andersen, (1974);Green (1974);Comprehensive Model of Information Seeking (CMIS)",2003
688,"Czaja, Ronald, Manfredi, Clara and Price, Jammie","Attitude/Concern","Andersen & Anderson, (1967);Andersen, Kravits, & Anderson, (1975);Aday & Andersen, (1974);Green (1974);Comprehensive Model of Information Seeking (CMIS)",2003
690,"Bowen, Deborah J., Meischke, Hendrika, Bush, Nigel, Wooldridge, Jean A., Robbins, Robert, Ludwig, Abi and Escamilla, Gina","Health Cond","RAND Health Survey",2003
690,"Bowen, Deborah J., Meischke, Hendrika, Bush, Nigel, Wooldridge, Jean A., Robbins, Robert, Ludwig, Abi and Escamilla, Gina","Health Status","RAND Health Survey",2003
690,"Bowen, Deborah J., Meischke, Hendrika, Bush, Nigel, Wooldridge, Jean A., Robbins, Robert, Ludwig, Abi and Escamilla, Gina","S/Age","RAND Health Survey",2003
690,"Bowen, Deborah J., Meischke, Hendrika, Bush, Nigel, Wooldridge, Jean A., Robbins, Robert, Ludwig, Abi and Escamilla, Gina","S/Financial-Income","RAND Health Survey",2003
800,"Rimal, Rajiv N., Flora, June A. and Schooler, Caroline","Health/Risk/Beliefs","NA",1999
800,"Rimal, Rajiv N., Flora, June A. and Schooler, Caroline","S/Age","NA",1999
800,"Rimal, Rajiv N., Flora, June A. and Schooler, Caroline","S/Education","NA",1999
800,"Rimal, Rajiv N., Flora, June A. and Schooler, Caroline","S/Gender","NA",1999
800,"Rimal, Rajiv N., Flora, June A. and Schooler, Caroline","Non-healthcare/Type","NA",1999
899,"Johnson, J. and Meischke, Hendrika","S/Education","Comprehensive Model of Information Seeking (CMIS)",1993
899,"Johnson, J. and Meischke, Hendrika","Health Cond/Experience","Comprehensive Model of Information Seeking (CMIS)",1993
899,"Johnson, J. and Meischke, Hendrika","Health Cond/Family","Comprehensive Model of Information Seeking (CMIS)",1993
899,"Johnson, J. and Meischke, Hendrika","Info/Beliefs/Salience","Comprehensive Model of Information Seeking (CMIS)",1993
899,"Johnson, J. and Meischke, Hendrika","Health/Beliefs","Comprehensive Model of Information Seeking (CMIS)",1993
899,"Johnson, J. and Meischke, Hendrika","Info/Attitude/Trust","Comprehensive Model of Information Seeking (CMIS)",1993
899,"Johnson, J. and Meischke, Hendrika","Source/Beliefs","Comprehensive Model of Information Seeking (CMIS)",1993
899,"Johnson, J. and Meischke, Hendrika","S/Financial-Income","Comprehensive Model of Information Seeking (CMIS)",1993
1038,"Jun, J. and Nan, X.","Health Behav","Conceptual Framework of Optimistic Bias",2018
1038,"Jun, J. and Nan, X.","Health Cond/Beliefs","Conceptual Framework of Optimistic Bias",2018
1038,"Jun, J. and Nan, X.","Health/Risk/Beliefs","Conceptual Framework of Optimistic Bias",2018
1038,"Jun, J. and Nan, X.","S/Age","Conceptual Framework of Optimistic Bias",2018
1038,"Jun, J. and Nan, X.","S/Education","Conceptual Framework of Optimistic Bias",2018
1038,"Jun, J. and Nan, X.","S/Employment","Conceptual Framework of Optimistic Bias",2018
1038,"Jun, J. and Nan, X.","S/Household","Conceptual Framework of Optimistic Bias",2018
1038,"Jun, J. and Nan, X.","S/Gender","Conceptual Framework of Optimistic Bias",2018
1038,"Jun, J. and Nan, X.","S/Race or Ethnicity","Conceptual Framework of Optimistic Bias",2018
1038,"Jun, J. and Nan, X.","S/Financial-Income","Conceptual Framework of Optimistic Bias",2018
1040,"Bigsby, E. and Hovick, S. R.","S/Age","Structural Influence Model (SIM);Risk Information Seeking and Processing (RISP)",2018
1040,"Bigsby, E. and Hovick, S. R.","S/Education","Structural Influence Model (SIM);Risk Information Seeking and Processing (RISP)",2018
1040,"Bigsby, E. and Hovick, S. R.","S/Gender","Structural Influence Model (SIM);Risk Information Seeking and Processing (RISP)",2018
1040,"Bigsby, E. and Hovick, S. R.","S/Race or Ethnicity","Structural Influence Model (SIM);Risk Information Seeking and Processing (RISP)",2018
1040,"Bigsby, E. and Hovick, S. R.","S/Society/Engagement","Structural Influence Model (SIM);Risk Information Seeking and Processing (RISP)",2018
1040,"Bigsby, E. and Hovick, S. R.","S/Financial-Income","Structural Influence Model (SIM);Risk Information Seeking and Processing (RISP)",2018
1041,"Zucco, R., Lavano, F., Anfosso, R., Bianco, A., Pileggi, C. and Pavia, M.","Attitude","NA",2018
1041,"Zucco, R., Lavano, F., Anfosso, R., Bianco, A., Pileggi, C. and Pavia, M.","Health Behav","NA",2018
1041,"Zucco, R., Lavano, F., Anfosso, R., Bianco, A., Pileggi, C. and Pavia, M.","Health Cond","NA",2018
1041,"Zucco, R., Lavano, F., Anfosso, R., Bianco, A., Pileggi, C. and Pavia, M.","Info/Info Needs","NA",2018
1041,"Zucco, R., Lavano, F., Anfosso, R., Bianco, A., Pileggi, C. and Pavia, M.","S/Age","NA",2018
1041,"Zucco, R., Lavano, F., Anfosso, R., Bianco, A., Pileggi, C. and Pavia, M.","S/Education","NA",2018
1041,"Zucco, R., Lavano, F., Anfosso, R., Bianco, A., Pileggi, C. and Pavia, M.","S/Gender","NA",2018
1050,"Oh, Y. S., Choi, E. Y. and Kim, Y. S.","Health Behav","Comprehensive Model of Information Seeking (CMIS)",2018
1050,"Oh, Y. S., Choi, E. Y. and Kim, Y. S.","S/Age","Comprehensive Model of Information Seeking (CMIS)",2018
1050,"Oh, Y. S., Choi, E. Y. and Kim, Y. S.","S/Education","Comprehensive Model of Information Seeking (CMIS)",2018
1050,"Oh, Y. S., Choi, E. Y. and Kim, Y. S.","S/Health/Health Literacy","Comprehensive Model of Information Seeking (CMIS)",2018
1050,"Oh, Y. S., Choi, E. Y. and Kim, Y. S.","Healthcare/Experience","Comprehensive Model of Information Seeking (CMIS)",2018
1054,"Ahadzadeh, A. S., Sharif, S. P. and Ong, F. S.","Health/Beliefs","The Technology Acceptance Model (TAM);Health Belief Model (HBM)",2018
1055,"Li, Y. and Wang, X.","Healthcare/Attitude/Trust","Self Determination Theory (SDT)",2018
1079,"Haluza, D., Naszay, M., Stockinger, A. and Jungwirth, D.","Info/Health/Info Seeking","NA",2017
1079,"Haluza, D., Naszay, M., Stockinger, A. and Jungwirth, D.","S/Gender","NA",2017
1079,"Haluza, D., Naszay, M., Stockinger, A. and Jungwirth, D.","Healthcare/Engagement","NA",2017
1079,"Haluza, D., Naszay, M., Stockinger, A. and Jungwirth, D.","Internet/Attitude/Trust","NA",2017
1101,"Manika, D., Stout, P. A., Golden, L. L. and Mackert, M.","Self-Efficacy","Health Belief Model (HBM)",2017
1101,"Manika, D., Stout, P. A., Golden, L. L. and Mackert, M.","Health Behav","Health Belief Model (HBM)",2017
1101,"Manika, D., Stout, P. A., Golden, L. L. and Mackert, M.","Health Cond/Beliefs","Health Belief Model (HBM)",2017
1101,"Manika, D., Stout, P. A., Golden, L. L. and Mackert, M.","Health Cond/Knowledge","Health Belief Model (HBM)",2017
1101,"Manika, D., Stout, P. A., Golden, L. L. and Mackert, M.","Health Status","Health Belief Model (HBM)",2017
1101,"Manika, D., Stout, P. A., Golden, L. L. and Mackert, M.","S/Gender","Health Belief Model (HBM)",2017
1106,"Graffigna, G., Barello, S., Bonanomi, A. and Riva, G.","Affect","Patient Activation Measure (PAM);Patient Health Engagement(PHE);Morisky Medication Adherence Scale (MMAS);Health Care Climate Questionnaire (HCCQ)",2017
1106,"Graffigna, G., Barello, S., Bonanomi, A. and Riva, G.","Behav/Adherence","Patient Activation Measure (PAM);Patient Health Engagement(PHE);Morisky Medication Adherence Scale (MMAS);Health Care Climate Questionnaire (HCCQ)",2017
1106,"Graffigna, G., Barello, S., Bonanomi, A. and Riva, G.","Health/Beliefs","Patient Activation Measure (PAM);Patient Health Engagement(PHE);Morisky Medication Adherence Scale (MMAS);Health Care Climate Questionnaire (HCCQ)",2017
1106,"Graffigna, G., Barello, S., Bonanomi, A. and Riva, G.","Healthcare/Engagement","Patient Activation Measure (PAM);Patient Health Engagement(PHE);Morisky Medication Adherence Scale (MMAS);Health Care Climate Questionnaire (HCCQ)",2017
1122,"Song, S., Lee, S. M., Jang, S., Lee, Y. J., Kim, N. H., Sohn, H. R. and Suh, D. C.","S/Health/Health Literacy","Rapid Estimate of Adult Literacy in Medicine (REALM)",2017
1129,"Deng, Z. and Liu, S.","Self-Efficacy","Risk perception attitude framework",2017
1129,"Deng, Z. and Liu, S.","Health Status","Risk perception attitude framework",2017
1129,"Deng, Z. and Liu, S.","Health/Risk/Beliefs","Risk perception attitude framework",2017
1141,"Jaafar, N. I., Ainin, S. and Yeong, M. W.","Health Behav","Scoial Cognitive Theory",2017
1144,"Brown, S. A. N., Jouni, H., Marroush, T. S. and Kullo, I. J.","Health Cond/Family","NA",2017
1144,"Brown, S. A. N., Jouni, H., Marroush, T. S. and Kullo, I. J.","Info/Health/Info Seeking","NA",2017
1144,"Brown, S. A. N., Jouni, H., Marroush, T. S. and Kullo, I. J.","S/Age","NA",2017
1144,"Brown, S. A. N., Jouni, H., Marroush, T. S. and Kullo, I. J.","S/Education","NA",2017
1144,"Brown, S. A. N., Jouni, H., Marroush, T. S. and Kullo, I. J.","S/Gender","NA",2017
1144,"Brown, S. A. N., Jouni, H., Marroush, T. S. and Kullo, I. J.","Internet/Experience","NA",2017
1149,"McClure, L. A., Tannenbaum, S. L., Zheng, D., Joslin, C. E., Perera, M. J., Gellman, M. D., Arheart, K. L., Lam, B. L. and Lee, D. J.","Health Behav","Andersen’s Behavioral Model of Health Services Use;Behavioral Model for Vulnerable Populations",2017
1149,"McClure, L. A., Tannenbaum, S. L., Zheng, D., Joslin, C. E., Perera, M. J., Gellman, M. D., Arheart, K. L., Lam, B. L. and Lee, D. J.","Health Cond","Andersen’s Behavioral Model of Health Services Use;Behavioral Model for Vulnerable Populations",2017
1149,"McClure, L. A., Tannenbaum, S. L., Zheng, D., Joslin, C. E., Perera, M. J., Gellman, M. D., Arheart, K. L., Lam, B. L. and Lee, D. J.","S/Age","Andersen’s Behavioral Model of Health Services Use;Behavioral Model for Vulnerable Populations",2017
1149,"McClure, L. A., Tannenbaum, S. L., Zheng, D., Joslin, C. E., Perera, M. J., Gellman, M. D., Arheart, K. L., Lam, B. L. and Lee, D. J.","S/Education","Andersen’s Behavioral Model of Health Services Use;Behavioral Model for Vulnerable Populations",2017
1149,"McClure, L. A., Tannenbaum, S. L., Zheng, D., Joslin, C. E., Perera, M. J., Gellman, M. D., Arheart, K. L., Lam, B. L. and Lee, D. J.","S/Financial-Income","Andersen’s Behavioral Model of Health Services Use;Behavioral Model for Vulnerable Populations",2017
1165,"Reifegerste, D., Bachl, M. and Baumann, E.","S/Age","social network theory",2017
1165,"Reifegerste, D., Bachl, M. and Baumann, E.","S/Gender","social network theory",2017
1165,"Reifegerste, D., Bachl, M. and Baumann, E.","S/Education","social network theory",2017
1165,"Reifegerste, D., Bachl, M. and Baumann, E.","S/Location","social network theory",2017
1165,"Reifegerste, D., Bachl, M. and Baumann, E.","S/Household","social network theory",2017
1165,"Reifegerste, D., Bachl, M. and Baumann, E.","Health Cond","social network theory",2017
1165,"Reifegerste, D., Bachl, M. and Baumann, E.","Health Cond/Knowledge","social network theory",2017
1165,"Reifegerste, D., Bachl, M. and Baumann, E.","Internet/Access","social network theory",2017
1181,"LaValley, S. A., Kiviniemi, M. T. and Gage-Bouchard, E. A.","S/Age","NA",2016
1181,"LaValley, S. A., Kiviniemi, M. T. and Gage-Bouchard, E. A.","S/Gender","NA",2016
1182,"Bao, Y., Hoque, R. and Wang, S.","Attitude","Theory of Planned Behavior (TPB)",2017
1182,"Bao, Y., Hoque, R. and Wang, S.","Society/Subjective Norms","Theory of Planned Behavior (TPB)",2017
1182,"Bao, Y., Hoque, R. and Wang, S.","Self-Efficacy/Perceived Behavioral Control","Theory of Planned Behavior (TPB)",2017
1185,"Paek, H. J., Choi, M. and Hove, T.","Health/Beliefs","Comprehensive Model of Information Seeking (CMIS)",2017
1185,"Paek, H. J., Choi, M. and Hove, T.","Info/Attitude/Trust","Comprehensive Model of Information Seeking (CMIS)",2017
1185,"Paek, H. J., Choi, M. and Hove, T.","S/Age","Comprehensive Model of Information Seeking (CMIS)",2017
1185,"Paek, H. J., Choi, M. and Hove, T.","S/Gender","Comprehensive Model of Information Seeking (CMIS)",2017
1185,"Paek, H. J., Choi, M. and Hove, T.","S/Health/Health Literacy","Comprehensive Model of Information Seeking (CMIS)",2017
1185,"Paek, H. J., Choi, M. and Hove, T.","Source/Beliefs","Comprehensive Model of Information Seeking (CMIS)",2017
1252,"Kim, H., Paige Powell, M., Bhuyan, S. S. and Bhuyan, S. S.","Internal locus of control","Comprehensive Model of Information Seeking (CMIS)",2017
1252,"Kim, H., Paige Powell, M., Bhuyan, S. S. and Bhuyan, S. S.","Health Status","Comprehensive Model of Information Seeking (CMIS)",2017
1252,"Kim, H., Paige Powell, M., Bhuyan, S. S. and Bhuyan, S. S.","Info/Attitude/Trust","Comprehensive Model of Information Seeking (CMIS)",2017
1252,"Kim, H., Paige Powell, M., Bhuyan, S. S. and Bhuyan, S. S.","S/Age","Comprehensive Model of Information Seeking (CMIS)",2017
1252,"Kim, H., Paige Powell, M., Bhuyan, S. S. and Bhuyan, S. S.","S/Carer","Comprehensive Model of Information Seeking (CMIS)",2017
1252,"Kim, H., Paige Powell, M., Bhuyan, S. S. and Bhuyan, S. S.","S/Household","Comprehensive Model of Information Seeking (CMIS)",2017
1252,"Kim, H., Paige Powell, M., Bhuyan, S. S. and Bhuyan, S. S.","S/Race or Ethnicity","Comprehensive Model of Information Seeking (CMIS)",2017
1252,"Kim, H., Paige Powell, M., Bhuyan, S. S. and Bhuyan, S. S.","Healthcare/Engagement","Comprehensive Model of Information Seeking (CMIS)",2017
1321,"Lwoga, E. T., Nagu, T. and Sife, A. S.","Attitude","conceptual framework of health information-seeking behaviour on the Web;Extended Unified Theory of Technology Acceptance and Use (UTAUT2)",2017
1321,"Lwoga, E. T., Nagu, T. and Sife, A. S.","Info/Health/Info Seeking","conceptual framework of health information-seeking behaviour on the Web;Extended Unified Theory of Technology Acceptance and Use (UTAUT2)",2017
1321,"Lwoga, E. T., Nagu, T. and Sife, A. S.","S/Age","conceptual framework of health information-seeking behaviour on the Web;Extended Unified Theory of Technology Acceptance and Use (UTAUT2)",2017
1321,"Lwoga, E. T., Nagu, T. and Sife, A. S.","S/Gender","conceptual framework of health information-seeking behaviour on the Web;Extended Unified Theory of Technology Acceptance and Use (UTAUT2)",2017
1321,"Lwoga, E. T., Nagu, T. and Sife, A. S.","Source/Beliefs","conceptual framework of health information-seeking behaviour on the Web;Extended Unified Theory of Technology Acceptance and Use (UTAUT2)",2017
1321,"Lwoga, E. T., Nagu, T. and Sife, A. S.","Internet/Access","conceptual framework of health information-seeking behaviour on the Web;Extended Unified Theory of Technology Acceptance and Use (UTAUT2)",2017
1324,"Oh, Y. S. and Song, N. K.","Attitude/Concern","Common-Sense Model (CSM)",2017
1324,"Oh, Y. S. and Song, N. K.","Health Status","Common-Sense Model (CSM)",2017
1324,"Oh, Y. S. and Song, N. K.","S/Age","Common-Sense Model (CSM)",2017
1324,"Oh, Y. S. and Song, N. K.","S/Gender","Common-Sense Model (CSM)",2017
1376,"Özkan, S., Mellema, J. J., Nazzal, A., Lee, S. G. and Ring, D.","Health Cond","NA",2016
1376,"Özkan, S., Mellema, J. J., Nazzal, A., Lee, S. G. and Ring, D.","S/Education","NA",2016
1434,"Houser, S. H., Au, D. W., Miller, M. J., Chen, L., Outman, R. C., Ray, M. N., Saag, K. G. and Weech-Maldonado, R.","S/Age","Short-Form Test of Functional Health Literacy in Adults (S-TOFHLA);Rapid Estimate of Adult Literacy in Medicine (REALM)",2016
1434,"Houser, S. H., Au, D. W., Miller, M. J., Chen, L., Outman, R. C., Ray, M. N., Saag, K. G. and Weech-Maldonado, R.","S/Gender","Short-Form Test of Functional Health Literacy in Adults (S-TOFHLA);Rapid Estimate of Adult Literacy in Medicine (REALM)",2016
1434,"Houser, S. H., Au, D. W., Miller, M. J., Chen, L., Outman, R. C., Ray, M. N., Saag, K. G. and Weech-Maldonado, R.","S/Race or Ethnicity","Short-Form Test of Functional Health Literacy in Adults (S-TOFHLA);Rapid Estimate of Adult Literacy in Medicine (REALM)",2016
1434,"Houser, S. H., Au, D. W., Miller, M. J., Chen, L., Outman, R. C., Ray, M. N., Saag, K. G. and Weech-Maldonado, R.","S/Financial-Income","Short-Form Test of Functional Health Literacy in Adults (S-TOFHLA);Rapid Estimate of Adult Literacy in Medicine (REALM)",2016
1434,"Houser, S. H., Au, D. W., Miller, M. J., Chen, L., Outman, R. C., Ray, M. N., Saag, K. G. and Weech-Maldonado, R.","Healthcare/Experience","Short-Form Test of Functional Health Literacy in Adults (S-TOFHLA);Rapid Estimate of Adult Literacy in Medicine (REALM)",2016
1440,"Koo, M., Lu, M. C. and Lin, S. C.","Health Behav","NA",2016
1440,"Koo, M., Lu, M. C. and Lin, S. C.","Health Status","NA",2016
1440,"Koo, M., Lu, M. C. and Lin, S. C.","S/Age","NA",2016
1440,"Koo, M., Lu, M. C. and Lin, S. C.","S/Education","NA",2016
1440,"Koo, M., Lu, M. C. and Lin, S. C.","S/Household","NA",2016
1440,"Koo, M., Lu, M. C. and Lin, S. C.","S/Location","NA",2016
1440,"Koo, M., Lu, M. C. and Lin, S. C.","Healthcare/Experience","NA",2016
